Rank;Title;Artists;Date;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Valence;Points;Day in trending
170;Un Finde | CROSSOVER #2;Big One, FMK, Ke Personajes;11/04/2023;0.499;0.519;-8.199.000;0.060;0.109;0.000;0.848;31;51
64;Under The Influence;Chris Brown;11/04/2023;0.733;0.690;-5.529.000;0.043;0.064;0.000;0.310;137;149
22;Unholy (feat. Kim Petras);Sam Smith, Kim Petras;11/04/2023;0.712;0.463;-7.399.000;0.080;0.011;0.000;0.206;179;149
128;Unstoppable;Sia;11/04/2023;0.468;0.779;-4.839.000;0.078;0.112;0.000;0.260;73;149
141;Until I Found You;Stephen Sanchez;11/04/2023;0.346;0.500;-6.097.000;0.039;0.757;0.000;0.191;60;147
30;Until I Found You (with Em Beihold) - Em Beihold Version;Stephen Sanchez, Em Beihold;11/04/2023;0.551;0.550;-5.339.000;0.029;0.777;0.000;0.342;171;149
101;Viva La Vida;Coldplay;11/04/2023;0.486;0.617;-7.115.000;0.029;0.095;0.000;0.417;100;149
168;VOID;Melanie Martinez;11/04/2023;0.715;0.656;-7.257.000;0.042;0.178;0.038;0.415;33;14
107;Watch This - ArizonaTears Pluggnb Remix;Lil Uzi Vert, sped up nightcore, ArizonaTears;11/04/2023;0.686;0.897;-7.180;0.039;0.010;0.103;0.355;94;92
131;Watermelon Sugar;Harry Styles;11/04/2023;0.548;0.816;-4.209.000;0.047;0.122;0.000;0.557;70;149
150;We Found Love;Rihanna, Calvin Harris;11/04/2023;0.734;0.766;-4.485.000;0.038;0.025;0.001;0.600;51;106
142;When I Was Your Man;Bruno Mars;11/04/2023;0.601;0.271;-8.688.000;0.040;0.937;0.000;0.411;59;148
188;Why'd You Only Call Me When You're High?;Arctic Monkeys;11/04/2023;0.691;0.631;-6.478.000;0.037;0.048;0.000;0.800;13;120
115;Without Me;Eminem;11/04/2023;0.908;0.669;-2.827.000;0.074;0.003;0.000;0.662;86;149
89;X SI VOLVEMOS;KAROL G, Romeo Santos;11/04/2023;0.794;0.807;-3.447.000;0.326;0.334;0.000;0.575;112;113
15;Yandel 150;Yandel, Feid;11/04/2023;0.783;0.729;-3.549.000;0.069;0.049;0.000;0.580;186;146
102;Yellow;Coldplay;11/04/2023;0.429;0.661;-7.227.000;0.028;0.002;0.000;0.285;99;149
185;You Proof;Morgan Wallen;11/04/2023;0.732;0.839;-5.007.000;0.035;0.265;0.000;0.629;16;38
135;10:35;Tiësto, Tate McRae;10/04/2023;0.696;0.793;-5.733.000;0.097;0.068;0.000;0.698;66;120
109;505;Arctic Monkeys;10/04/2023;0.520;0.852;-5.866.000;0.054;0.002;0.000;0.234;92;149
51;All Of The Girls You Loved Before;Taylor Swift;10/04/2023;0.718;0.467;-9.660;0.040;0.707;0.000;0.396;150;71
21;AMG;Natanael Cano, Peso Pluma, Gabito Ballesteros;10/04/2023;0.772;0.730;-6.657.000;0.097;0.152;0.000;0.786;180;144
121;Angels Like You;Miley Cyrus;10/04/2023;0.672;0.642;-4.035.000;0.031;0.098;0.000;0.494;80;61
34;Another Love;Tom Odell;10/04/2023;0.442;0.538;-8.550;0.045;0.717;0.000;0.139;167;149
18;Anti-Hero;Taylor Swift;10/04/2023;0.637;0.643;-6.571.000;0.052;0.130;0.000;0.533;183;149
132;Apocalypse;Cigarettes After Sex;10/04/2023;0.369;0.467;-9.018.000;0.027;0.019;0.460;0.174;69;148
82;Arcángel: Bzrp Music Sessions, Vol. 54;Bizarrap, Arcángel;10/04/2023;0.716;0.780;-3.495.000;0.297;0.550;0.000;0.786;119;25
9;As It Was;Harry Styles;10/04/2023;0.520;0.731;-5.338.000;0.056;0.342;0.001;0.662;192;149
89;Bad Habit;Steve Lacy;10/04/2023;0.686;0.494;-7.093.000;0.036;0.613;0.000;0.700;112;149
69;Bebe Dame;Fuerza Regida, Grupo Frontera;10/04/2023;0.529;0.602;-4.629.000;0.046;0.299;0.000;0.756;132;149
122;Believer;Imagine Dragons;10/04/2023;0.776;0.780;-4.374.000;0.128;0.062;0.000;0.666;79;149
7;BESO;ROSALÍA, Rauw Alejandro;10/04/2023;0.768;0.644;-6.671.000;0.136;0.736;0.001;0.530;194;67
80;Blank Space;Taylor Swift;10/04/2023;0.760;0.703;-5.412.000;0.054;0.103;0.000;0.570;121;148
54;Blinding Lights;The Weeknd;10/04/2023;0.514;0.730;-5.934.000;0.060;0.001;0.000;0.334;147;149
49;Bones;Imagine Dragons;10/04/2023;0.772;0.750;-3.670;0.046;0.020;0.000;0.587;152;149
10;Boy's a liar Pt. 2;PinkPantheress, Ice Spice;10/04/2023;0.696;0.809;-8.254.000;0.050;0.252;0.000;0.857;191;139
188;CAIRO;KAROL G, Ovy On The Drums;10/04/2023;0.957;0.677;-3.979.000;0.292;0.483;0.000;0.469;13;105
149;Call Out My me;The Weeknd;10/04/2023;0.461;0.593;-4.954.000;0.036;0.170;0.000;0.175;52;119
15;Calm Down (with Selena Gomez);Rema, Selena Gomez;10/04/2023;0.801;0.806;-5.206.000;0.038;0.382;0.001;0.802;186;149
157;Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton;10/04/2023;0.633;0.927;-4.468.000;0.084;0.027;0.000;0.880;44;132
93;cardigan;Taylor Swift;10/04/2023;0.613;0.581;-8.588.000;0.042;0.537;0.000;0.551;108;79
56;ceilings;Lizzy McAlpine;10/04/2023;0.516;0.322;-11.762.000;0.029;0.473;0.002;0.261;145;105
50;Ch y la Pizza;Fuerza Regida, Natanael Cano;10/04/2023;0.628;0.668;-2.722.000;0.117;0.329;0.000;0.845;151;125
101;Chanel;Becky G, Peso Pluma;10/04/2023;0.852;0.675;-5.738.000;0.036;0.397;0.003;0.528;100;53
66;CHORRITO PA LAS ANIMAS;Feid;10/04/2023;0.743;0.831;-4.042.000;0.058;0.114;0.000;0.609;135;148
178;Christmas Kids;Roar;10/04/2023;0.425;0.754;-6.028.000;0.037;0.010;0.112;0.558;23;6
30;Classy 101;Feid, Young Miko;10/04/2023;0.859;0.658;-4.790;0.159;0.145;0.000;0.672;171;60
27;Coco Chanel;Eladio Carrion, Bad Bunny;10/04/2023;0.683;0.764;-5.995.000;0.044;0.043;0.000;0.137;174;74
106;Cold Heart - PNAU Remix;Elton John, Dua Lipa, PNAU;10/04/2023;0.795;0.800;-6.320;0.031;0.035;0.000;0.934;95;149
152;Counting Stars;OneRepublic;10/04/2023;0.664;0.705;-4.972.000;0.038;0.065;0.000;0.477;49;148
13;Creepin' (with The Weeknd & 21 Savage);Metro Boomin, The Weeknd, 21 Savage;10/04/2023;0.715;0.620;-6.005.000;0.048;0.417;0.000;0.172;188;149
92;Cruel Summer;Taylor Swift;10/04/2023;0.552;0.702;-5.707.000;0.157;0.117;0.000;0.564;109;73
142;CUFF IT;Beyoncé;10/04/2023;0.780;0.689;-5.668.000;0.141;0.037;0.000;0.642;59;145
162;Cupid;FIFTY FIFTY;10/04/2023;0.774;0.660;-8.200;0.033;0.662;0.000;0.961;39;47
8;Cupid - Twin Ver.;FIFTY FIFTY;10/04/2023;0.783;0.592;-8.332.000;0.033;0.435;0.000;0.726;193;78
60;Cupido;TINI;10/04/2023;0.913;0.584;-5.263.000;0.223;0.521;0.000;0.627;141;102
78;Dandelions;Ruth B.;10/04/2023;0.609;0.692;-2.958.000;0.026;0.016;0.000;0.454;123;149
184;Dark Red;Steve Lacy;10/04/2023;0.603;0.784;-4.023.000;0.062;0.446;0.000;0.769;17;101
193;Demons;Imagine Dragons;10/04/2023;0.505;0.710;-3.015.000;0.032;0.190;0.000;0.428;8;126
131;DESPECHÁ;ROSALÍA;10/04/2023;0.914;0.622;-6.538.000;0.089;0.146;0.000;0.770;70;142
22;Die For You;The Weeknd;10/04/2023;0.586;0.525;-7.163.000;0.062;0.111;0.000;0.508;179;181
11;Die For You (with Ariana Grande) - Remix;The Weeknd, Ariana Grande;10/04/2023;0.575;0.500;-7.594.000;0.071;0.227;0.000;0.506;190;77
177;Dijeron Que No La Iba Lograr;Chino Pacas, Fuerza Regida;10/04/2023;0.703;0.791;-6.792.000;0.066;0.255;0.000;0.759;24;32
76;Ditto;NewJeans;10/04/2023;0.814;0.641;-5.957.000;0.111;0.027;0.000;0.183;125;145
176;Do I Wanna Know?;Arctic Monkeys;10/04/2023;0.548;0.532;-7.596.000;0.032;0.186;0.000;0.405;25;139
112;DOGTOOTH;Tyler, The Creator;10/04/2023;0.706;0.648;-6.348.000;0.324;0.505;0.000;0.802;89;24
114;Don't Blame Me;Taylor Swift;10/04/2023;0.615;0.534;-6.719.000;0.039;0.106;0.000;0.193;87;70
148;Easy On Me;Adele;10/04/2023;0.604;0.366;-7.519.000;0.028;0.578;0.000;0.130;53;148
111;Efecto;Bad Bunny;10/04/2023;0.801;0.475;-8.797.000;0.052;0.141;0.000;0.234;90;149
24;El Azul;Junior H, Peso Pluma;10/04/2023;0.558;0.648;-7.081.000;0.055;0.226;0.000;0.844;177;95
200;El Gavilán;Luis R Conriquez, Tony Aguirre, Peso Pluma;10/04/2023;0.724;0.684;-4.413.000;0.071;0.144;0.004;0.729;1;25
48;El Gordo Trae El Mando;Chino Pacas;10/04/2023;0.736;0.800;-5.380;0.053;0.179;0.000;0.961;153;107
79;El Merengue;Marshmello, Manuel Turizo;10/04/2023;0.775;0.677;-4.703.000;0.044;0.031;0.005;0.698;122;87
187;El Tsurito;Junior H, Peso Pluma, Gabito Ballesteros;10/04/2023;0.662;0.801;-6.397.000;0.086;0.256;0.000;0.827;14;26
2;Ella Baila Sola;Eslabon Armado, Peso Pluma;10/04/2023;0.668;0.758;-5.176.000;0.033;0.483;0.000;0.834;199;74
146;En Paris;El Chachito, Junior H;10/04/2023;0.702;0.483;-7.990;0.052;0.366;0.000;0.769;55;66
134;Enchanted;Taylor Swift;10/04/2023;0.535;0.618;-3.913.000;0.027;0.072;0.000;0.228;67;72
43;Escapism.;RAYE, 070 Shake;10/04/2023;0.538;0.742;-5.355.000;0.114;0.138;0.000;0.250;158;149
191;Every Breath You Take;The Police;10/04/2023;0.820;0.452;-9.796.000;0.035;0.543;0.003;0.740;10;48
167;Everybody Wants To Rule The World;Tears For Fears;10/04/2023;0.645;0.795;-12.095.000;0.053;0.347;0.004;0.535;34;105
44;Eyes Closed;Ed Sheeran;10/04/2023;0.777;0.526;-6.221.000;0.065;0.302;0.000;0.389;157;67
129;Fast Car;Luke Combs;10/04/2023;0.712;0.603;-5.520;0.026;0.186;0.000;0.670;72;55
46;Feliz Cumpleaños Ferxxo;Feid;10/04/2023;0.865;0.573;-5.501.000;0.068;0.086;0.000;0.563;155;149
55;Fin de Semana;Oscar Maydon, Junior H;10/04/2023;0.699;0.541;-4.943.000;0.083;0.063;0.000;0.365;146;134
12;FLOWER;JISOO;10/04/2023;0.841;0.384;-7.684.000;0.035;0.024;0.000;0.597;189;60
1;Flowers;Miley Cyrus;10/04/2023;0.707;0.681;-4.325.000;0.067;0.063;0.000;0.646;200;137
195;Gangsta's Paradise;Coolio, L.V.;10/04/2023;0.647;0.514;-10.050;0.059;0.066;0.000;0.386;6;97
169;Gato de Noche;Ñengo Flow, Bad Bunny;10/04/2023;0.892;0.662;-3.894.000;0.162;0.169;0.000;0.607;32;126
105;Ghost;Justin Bieber;10/04/2023;0.601;0.741;-5.569.000;0.048;0.185;0.000;0.441;96;149
126;Glimpse of Us;Joji;10/04/2023;0.440;0.317;-9.258.000;0.053;0.891;0.000;0.268;75;145
31;golden hour;JVKE;10/04/2023;0.515;0.593;-4.801.000;0.032;0.653;0.162;0.153;170;149
145;HAPPY;NF;10/04/2023;0.732;0.855;-4.064.000;0.042;0.306;0.000;0.221;56;7
186;Heart To Heart;Mac DeMarco;10/04/2023;0.901;0.136;-16.127.000;0.102;0.667;0.354;0.643;15;78
68;Heat Waves;Glass Animals;10/04/2023;0.761;0.525;-6.900;0.094;0.440;0.000;0.531;133;149
26;Here With Me;d4vd;10/04/2023;0.574;0.469;-8.209.000;0.025;0.534;0.000;0.288;175;149
32;Hey Mor;Ozuna, Feid;10/04/2023;0.901;0.589;-6.713.000;0.289;0.003;0.000;0.399;169;149
38;I Ain't Worried;OneRepublic;10/04/2023;0.697;0.802;-6.412.000;0.046;0.099;0.000;0.822;163;149
144;I AM;IVE;10/04/2023;0.683;0.875;-4.866.000;0.055;0.012;0.000;0.384;57;48
123;I Know - PR1SVX Edit;Kanii, PR1ISVX;10/04/2023;0.674;0.759;-8.234.000;0.070;0.078;0.472;0.109;78;10
181;I Love You So;The Walters;10/04/2023;0.575;0.648;-4.891.000;0.036;0.583;0.000;0.466;20;106
29;I Wanna Be Yours;Arctic Monkeys;10/04/2023;0.464;0.417;-9.345.000;0.026;0.136;0.022;0.479;172;149
140;I Was Never There;The Weeknd, Gesaffelstein;10/04/2023;0.323;0.737;-4.008.000;0.034;0.142;0.000;0.155;61;140
192;If We Ever Broke Up;Mae Stephens;10/04/2023;0.898;0.732;-3.982.000;0.043;0.621;0.000;0.960;9;57
25;I'm Good (Blue);David Guetta, Bebe Rexha;10/04/2023;0.561;0.965;-3.673.000;0.034;0.004;0.000;0.304;176;149
155;Jimmy Cooks (feat. 21 Savage);Drake, 21 Savage;10/04/2023;0.529;0.673;-4.711.000;0.175;0.000;0.000;0.366;46;145
72;Just Wan Rock;Lil Uzi Vert;10/04/2023;0.486;0.545;-7.924.000;0.034;0.065;0.005;0.039;129;120
3;Kill Bill;SZA;10/04/2023;0.644;0.735;-5.747.000;0.039;0.052;0.144;0.418;198;149
161;Kitsch;IVE;10/04/2023;0.800;0.792;-4.953.000;0.053;0.012;0.000;0.455;40;6
137;Komang;Raim Laode;10/04/2023;0.696;0.412;-8.547.000;0.027;0.415;0.000;0.349;64;83
33;La Bachata;Manuel Turizo;10/04/2023;0.835;0.679;-5.329.000;0.036;0.583;0.000;0.850;168;149
128;La Bebe;Yng Lvcas;10/04/2023;0.775;0.465;-8.365.000;0.365;0.609;0.000;0.707;73;74
5;La Bebe - Remix;Yng Lvcas, Peso Pluma;10/04/2023;0.812;0.479;-5.678.000;0.333;0.213;0.000;0.559;196;73
164;LA INOCENTE;Mora, Feid;10/04/2023;0.757;0.789;-3.460;0.058;0.307;0.000;0.464;37;118
52;La Jumpa;Arcángel, Bad Bunny;10/04/2023;0.887;0.234;-14.520;0.178;0.111;0.670;0.197;149;149
19;Last Night;Morgan Wallen;10/04/2023;0.492;0.675;-5.456.000;0.039;0.467;0.000;0.478;182;119
143;Late Night Talking;Harry Styles;10/04/2023;0.714;0.728;-4.595.000;0.047;0.298;0.000;0.901;58;121
81;Lavender Haze;Taylor Swift;10/04/2023;0.733;0.436;-10.489.000;0.080;0.258;0.001;0.098;120;149
199;Left and Right (Feat. Jung Kook of BTS);Charlie Puth, Jung Kook, BTS;10/04/2023;0.881;0.592;-4.898.000;0.032;0.619;0.000;0.719;2;108
20;Like Crazy;Jimin;10/04/2023;0.629;0.733;-5.445.000;0.042;0.003;0.000;0.362;181;66
39;Like Crazy (English Version);Jimin;10/04/2023;0.623;0.755;-5.386.000;0.042;0.003;0.000;0.320;162;47
194;LOKERA;Rauw Alejandro, Lyanno, Brray;10/04/2023;0.836;0.826;-2.660;0.046;0.213;0.000;0.579;7;101
196;Los Ángeles;Aitana;10/04/2023;0.795;0.889;-5.216.000;0.090;0.053;0.000;0.421;5;1
190;Lose Yourself;Eminem;10/04/2023;0.686;0.735;-4.616.000;0.264;0.009;0.001;0.060;11;120
190;"Lose Yourself - From ""8 Mile"" Soundtrack";Eminem;10/04/2023;0.686;0.735;-4.616.000;0.264;0.009;0.001;0.060;11;103
98;lovely (with Khalid);Billie Eilish, Khalid;10/04/2023;0.351;0.296;-10.109.000;0.033;0.934;0.000;0.120;103;149
168;Lovers Rock;TV Girl;10/04/2023;0.559;0.871;-5.338.000;0.040;0.000;0.005;0.572;33;65
97;Made You Look;Meghan Trainor;10/04/2023;0.838;0.525;-3.562.000;0.067;0.345;0.000;0.884;104;135
159;Malas Decisiones;Kenia OS;10/04/2023;0.812;0.791;-3.704.000;0.028;0.047;0.000;0.635;42;44
62;Me Porto Bonito;Bad Bunny, Chencho Corleone;10/04/2023;0.911;0.712;-5.105.000;0.082;0.090;0.000;0.425;139;149
65;MERCHO;LiL CaKe, Migrantes, Nico Valdi;10/04/2023;0.838;0.790;-1.602.000;0.108;0.431;0.000;0.962;136;122
147;METAMORPHOSIS;INTERWORLD;10/04/2023;0.593;0.641;-12.727.000;0.099;0.426;0.901;0.147;54;148
158;Midnight Rain;Taylor Swift;10/04/2023;0.643;0.363;-11.738.000;0.077;0.690;0.000;0.230;43;83
73;MIENTRAS ME CURO DEL CORA;KAROL G;10/04/2023;0.523;0.477;-6.786.000;0.392;0.855;0.000;0.570;128;95
96;Miracle (with Ellie Goulding);Calvin Harris Ellie Goulding;10/04/2023;0.636;0.869;-5.289.000;0.041;0.038;0.045;0.306;105;81
41;Mockingbird;Eminem;10/04/2023;0.637;0.678;-3.798.000;0.266;0.209;0.000;0.254;160;149
175;Money Trees;Kendrick Lamar, Jay Rock;10/04/2023;0.716;0.531;-7.355.000;0.122;0.070;0.000;0.344;26;84
107;Moonlight;Kali Uchis;10/04/2023;0.642;0.706;-6.872.000;0.052;0.518;0.000;0.896;94;78
180;Murder In My Mind;Kordhell;10/04/2023;0.712;0.972;-0.514;0.112;0.005;0.000;0.568;21;102
102;Never Felt So Alone;Labrinth;10/04/2023;0.436;0.409;-4.438.000;0.053;0.499;0.000;0.363;99;49
115;Night Changes;One Direction;10/04/2023;0.672;0.520;-7.747.000;0.035;0.859;0.000;0.370;86;149
110;No Role Modelz;J. Cole;10/04/2023;0.690;0.521;-8.492.000;0.339;0.324;0.000;0.494;91;149
87;Nonsense;Sabrina Carpenter;10/04/2023;0.740;0.697;-4.912.000;0.034;0.027;0.000;0.732;114;138
85;Normal;Feid;10/04/2023;0.709;0.560;-4.867.000;0.171;0.034;0.000;0.541;116;147
120;Nosso Quadro;AgroPlay, A Castela;10/04/2023;0.691;0.708;-4.821.000;0.195;0.338;0.000;0.602;81;101
95;Ojitos Lindos;Bad Bunny, Bomba Estéreo;10/04/2023;0.647;0.686;-5.745.000;0.041;0.080;0.000;0.268;106;149
40;OMG;NewJeans;10/04/2023;0.804;0.771;-4.067.000;0.043;0.357;0.000;0.739;161;148
61;People;Libianca;10/04/2023;0.573;0.422;-7.621.000;0.068;0.551;0.000;0.693;140;139
37;People Pt.2 (feat. IU);Agust D, IU;10/04/2023;0.729;0.574;-4.779.000;0.059;0.391;0.000;0.438;164;27
103;Perfect;Ed Sheeran;10/04/2023;0.599;0.448;-6.312.000;0.023;0.163;0.000;0.168;98;149
45;Players;Coi Leray;10/04/2023;0.954;0.516;-5.817.000;0.160;0.030;0.000;0.624;156;131
53;Por las Noches;Peso Pluma;10/04/2023;0.807;0.595;-7.190;0.033;0.310;0.000;0.392;148;93
17;PRC;Peso Pluma, Natanael Cano;10/04/2023;0.784;0.826;-6.340;0.054;0.097;0.000;0.893;184;125
130;PROVENZA;KAROL G;10/04/2023;0.870;0.517;-7.918.000;0.048;0.576;0.006;0.540;71;149
108;PUNTO G;Quevedo;10/04/2023;0.751;0.761;-4.113.000;0.150;0.251;0.000;0.553;93;140
77;Que Vuelvas;Carin Leon, Grupo Frontera;10/04/2023;0.491;0.643;-4.309.000;0.044;0.187;0.000;0.779;124;149
42;Quevedo: Bzrp Music Sessions, Vol. 52;Bizarrap, Quevedo;10/04/2023;0.621;0.782;-5.548.000;0.044;0.013;0.033;0.550;159;149
36;Rara Vez;Taiu, Milo j;10/04/2023;0.838;0.708;-4.668.000;0.166;0.176;0.000;0.960;165;95
70;Reminder;The Weeknd;10/04/2023;0.706;0.505;-6.923.000;0.193;0.142;0.000;0.388;131;101
75;REMIX EXCLUSIVO;Feid;10/04/2023;0.651;0.557;-5.466.000;0.204;0.036;0.000;0.711;126;41
86;Rich Flex;Drake, 21 Savage;10/04/2023;0.561;0.520;-9.342.000;0.244;0.050;0.000;0.424;115;149
113;Riptide;Vance Joy;10/04/2023;0.484;0.731;-6.694.000;0.038;0.431;0.000;0.510;88;149
64;Romantic Homicide;d4vd;10/04/2023;0.571;0.544;-10.613.000;0.030;0.453;0.008;0.216;137;149
119;Save Your Tears;The Weeknd;10/04/2023;0.680;0.826;-5.487.000;0.031;0.021;0.000;0.644;82;149
151;Save Your Tears (Remix) (with Ariana Grande);The Weeknd, Ariana Grande;10/04/2023;0.650;0.825;-4.645.000;0.033;0.022;0.000;0.593;50;117
183;Say You Won't Let Go;James Arthur;10/04/2023;0.358;0.557;-7.398.000;0.059;0.695;0.000;0.494;18;104
6;Search & Rescue;Drake;10/04/2023;0.817;0.440;-8.482.000;0.073;0.060;0.000;0.544;195;53
171;See You Again (feat. Kali Uchis);Tyler, The Creator, Kali Uchis;10/04/2023;0.558;0.559;-9.222.000;0.096;0.371;0.000;0.620;30;50
124;Set Fire to the Rain;Adele;10/04/2023;0.603;0.670;-3.882.000;0.025;0.004;0.000;0.446;77;131
71;Set Me Free Pt.2;Jimin;10/04/2023;0.585;0.815;-4.165.000;0.057;0.115;0.000;0.564;130;55
198;Sex, Drugs, Etc.;Beach Weather;10/04/2023;0.570;0.842;-5.085.000;0.038;0.014;0.009;0.470;3;69
16;Shakira: Bzrp Music Sessions, Vol. 53;Bizarrap, Shakira;10/04/2023;0.778;0.632;-5.600;0.049;0.274;0.000;0.498;185;138
165;Shape of You;Ed Sheeran;10/04/2023;0.825;0.652;-3.183.000;0.080;0.581;0.000;0.931;36;140
160;Shivers;Ed Sheeran;10/04/2023;0.788;0.859;-2.724.000;0.086;0.281;0.000;0.822;41;142
67;Shorty Party;Cartel De Santa, La Kelly;10/04/2023;0.928;0.468;-8.196.000;0.364;0.328;0.000;0.470;134;79
166;Shut Down;BLACKPINK;10/04/2023;0.818;0.690;-5.119.000;0.045;0.003;0.000;0.688;35;122
172;Shut up My Moms Calling;Hotel Ugly;10/04/2023;0.485;0.409;-10.711.000;0.101;0.325;0.000;0.376;29;132
74;SLUT ME OUT;NLE Choppa;10/04/2023;0.938;0.606;-6.396.000;0.419;0.117;0.000;0.706;127;48
47;Snooze;SZA;10/04/2023;0.559;0.551;-7.231.000;0.132;0.141;0.000;0.392;154;146
83;Someone You Loved;Lewis Capaldi;10/04/2023;0.501;0.405;-5.679.000;0.032;0.751;0.000;0.446;118;149
150;Something in the Orange;Zach Bryan;10/04/2023;0.369;0.192;-12.151.000;0.040;0.555;0.000;0.148;51;101
154;Somewhere Only We Know;Keane;10/04/2023;0.448;0.665;-4.203.000;0.026;0.060;0.000;0.304;47;122
136;SORRY NOT SORRY;Tyler, The Creator;10/04/2023;0.481;0.797;-4.094.000;0.201;0.404;0.000;0.495;65;16
91;SP;Rosa Linn;10/04/2023;0.565;0.636;-8.198.000;0.064;0.107;0.000;0.525;110;120
35;Starboy;The Weeknd, Daft Punk;10/04/2023;0.679;0.587;-7.015.000;0.276;0.141;0.000;0.486;166;149
141;Stargirl Interlude;The Weeknd, La Del Rey;10/04/2023;0.715;0.470;-12.638.000;0.077;0.353;0.092;0.426;60;139
57;STAY (with Justin Bieber);The Kid LAROI, Justin Bieber;10/04/2023;0.591;0.764;-5.484.000;0.048;0.038;0.000;0.478;144;149
116;Style;Taylor Swift;10/04/2023;0.588;0.791;-5.595.000;0.040;0.002;0.003;0.487;85;75
138;Summertime Sadness;Lana Del Rey;10/04/2023;0.568;0.646;-6.793.000;0.033;0.046;0.000;0.211;63;148
179;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone, Swae Lee;10/04/2023;0.755;0.522;-4.368.000;0.058;0.533;0.000;0.925;22;129
185;Sunroof;Nicky Youre, dazy;10/04/2023;0.768;0.714;-5.110;0.040;0.352;0.000;0.842;16;87
99;Superhero (Heroes & Villains) [with Future & Chris Brown];Metro Boomin, Future, Chris Brown;10/04/2023;0.526;0.606;-5.300;0.259;0.152;0.000;0.492;102;149
173;Superman;Eminem, Dina Rae;10/04/2023;0.802;0.755;-3.138.000;0.056;0.022;0.000;0.580;28;136
59;Sure Thing;Miguel;10/04/2023;0.684;0.607;-8.127.000;0.100;0.027;0.000;0.498;142;149
58;Sweater Weather;The Neighbourhood;10/04/2023;0.612;0.807;-2.810;0.034;0.050;0.018;0.398;143;149
174;The Color Violet;Tory Lanez;10/04/2023;0.645;0.534;-10.800;0.048;0.157;0.000;0.463;27;141
197;The Hills;The Weeknd;10/04/2023;0.585;0.564;-7.063.000;0.052;0.067;0.000;0.137;4;116
153;The Real Slim Shady;Eminem;10/04/2023;0.949;0.661;-4.244.000;0.057;0.030;0.000;0.760;48;147
84;Those Eyes;New West;10/04/2023;0.593;0.352;-8.296.000;0.028;0.695;0.000;0.226;117;149
118;Tití Me Preguntó;Bad Bunny;10/04/2023;0.650;0.715;-5.198.000;0.253;0.099;0.000;0.187;83;149
4;TQG;KAROL G, Shakira;10/04/2023;0.720;0.630;-3.547.000;0.277;0.673;0.000;0.607;197;95
90;Trance (with Travis Scott & Young Thug);Metro Boomin, Travis Scott, Young Thug;10/04/2023;0.571;0.549;-7.380;0.404;0.180;0.000;0.447;111;86
189;Un Finde | CROSSOVER #2;Big One, FMK, Ke Personajes;10/04/2023;0.499;0.519;-8.199.000;0.060;0.109;0.000;0.848;12;51
63;Under The Influence;Chris Brown;10/04/2023;0.733;0.690;-5.529.000;0.043;0.064;0.000;0.310;138;149
23;Unholy (feat. Kim Petras);Sam Smith, Kim Petras;10/04/2023;0.712;0.463;-7.399.000;0.080;0.011;0.000;0.206;178;149
127;Unstoppable;Sia;10/04/2023;0.468;0.779;-4.839.000;0.078;0.112;0.000;0.260;74;149
133;Until I Found You;Stephen Sanchez;10/04/2023;0.346;0.500;-6.097.000;0.039;0.757;0.000;0.191;68;147
28;Until I Found You (with Em Beihold) - Em Beihold Version;Stephen Sanchez, Em Beihold;10/04/2023;0.551;0.550;-5.339.000;0.029;0.777;0.000;0.342;173;149
94;Viva La Vida;Coldplay;10/04/2023;0.486;0.617;-7.115.000;0.029;0.095;0.000;0.417;107;149
163;VOID;Melanie Martinez;10/04/2023;0.715;0.656;-7.257.000;0.042;0.178;0.038;0.415;38;14
104;Watch This - ArizonaTears Pluggnb Remix;Lil Uzi Vert, sped up nightcore, ArizonaTears;10/04/2023;0.686;0.897;-7.180;0.039;0.010;0.103;0.355;97;92
125;Watermelon Sugar;Harry Styles;10/04/2023;0.548;0.816;-4.209.000;0.047;0.122;0.000;0.557;76;149
156;We Found Love;Rihanna, Calvin Harris;10/04/2023;0.734;0.766;-4.485.000;0.038;0.025;0.001;0.600;45;106
139;When I Was Your Man;Bruno Mars;10/04/2023;0.601;0.271;-8.688.000;0.040;0.937;0.000;0.411;62;148
182;Why'd You Only Call Me When You're High?;Arctic Monkeys;10/04/2023;0.691;0.631;-6.478.000;0.037;0.048;0.000;0.800;19;120
117;Without Me;Eminem;10/04/2023;0.908;0.669;-2.827.000;0.074;0.003;0.000;0.662;84;149
88;X SI VOLVEMOS;KAROL G, Romeo Santos;10/04/2023;0.794;0.807;-3.447.000;0.326;0.334;0.000;0.575;113;113
14;Yandel 150;Yandel, Feid;10/04/2023;0.783;0.729;-3.549.000;0.069;0.049;0.000;0.580;187;146
100;Yellow;Coldplay;10/04/2023;0.429;0.661;-7.227.000;0.028;0.002;0.000;0.285;101;149
170;You Proof;Morgan Wallen;10/04/2023;0.732;0.839;-5.007.000;0.035;0.265;0.000;0.629;31;38
140;10:35;Tiësto, Tate McRae;09/04/2023;0.696;0.793;-5.733.000;0.097;0.068;0.000;0.698;61;120
110;505;Arctic Monkeys;09/04/2023;0.520;0.852;-5.866.000;0.054;0.002;0.000;0.234;91;149
